instrument,datetime,open,high,low,close,volume
AAPL,3/14/2011,10.6284577,10.72776725,10.57218339,10.63989353,435957200
AAPL,3/15/2011,10.29501834,10.4677555,10.23483139,10.39523029,721081200
AAPL,3/16/2011,10.29201049,10.32210397,9.818336868,9.93118763,1162011200
AAPL,3/17/2011,10.13642967,10.2200902,9.950752285,10.07052517,659422400
AAPL,3/18/2011,10.14545602,10.17765651,9.930888938,9.951051712,753214000
AAPL,3/21/2011,10.11114609,10.22399603,10.08917687,10.21075535,409402000
AAPL,3/22/2011,10.30886399,10.31066964,10.20594313,10.26793575,325922800
AAPL,3/23/2011,10.21015418,10.238442,10.10994223,10.2074461,372996400
AAPL,3/24/2011,10.28749596,10.41238442,10.19751605,10.38138771,404712000
AAPL,3/25/2011,10.47468019,10.59475361,10.44308159,10.57910538,448910000
AAPL,3/28/2011,10.62755384,10.66276375,10.54599953,10.54599953,309355200
AAPL,3/29/2011,10.46234153,10.56165028,10.41419227,10.56165028,352900800
AAPL,3/30/2011,10.55202161,10.55924504,10.45572227,10.49153328,329406000
AAPL,3/31/2011,10.42321925,10.52674119,10.41419176,10.48792076,274019200
AAPL,4/1/2011,10.56616205,10.5806065,10.33113013,10.36904812,418661600
AAPL,4/4/2011,10.36152792,10.37025486,10.18367429,10.26763535,460084800
AAPL,4/5/2011,10.14124393,10.29953589,10.11145098,10.19842148,482731200
AAPL,4/6/2011,10.26853835,10.34918863,10.14575606,10.17284012,402539200
AAPL,4/7/2011,10.17464569,10.24476337,10.11235172,10.17404461,373447200
AAPL,4/8/2011,10.22941638,10.23633766,10.0497579,10.08316135,377535200
AAPL,4/11/2011,10.05306785,10.10151846,9.931490942,9.954963684,398946800
AAPL,4/12/2011,9.945632158,10.04313603,9.936905218,10.00311184,425639200
AAPL,4/13/2011,10.08195791,10.11566271,10.00672379,10.11536217,346220000
AAPL,4/14/2011,10.07533832,10.11145067,9.992882374,10.00371552,301800800
AAPL,4/15/2011,10.03019395,10.040426,9.834585943,9.854447365,453605600
AAPL,4/18/2011,9.813522149,9.997995696,9.634766113,9.986559868,609898800
AAPL,4/19/2011,10.02417766,10.17103376,9.982347005,10.16742325,419378400
AAPL,4/20/2011,10.33745377,10.40486338,10.27696625,10.30435085,700666400
AAPL,4/21/2011,10.68322375,10.6871364,10.48821764,10.55382156,753810400
AAPL,4/25/2011,10.54299371,10.64561324,10.54178914,10.62334347,266546000
AAPL,4/26/2011,10.64169898,10.68292695,10.51319918,10.54539967,338800000
